Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"NIVOLUMAB 10 mg/ml, solution pour perfusion",nivolumab,,01/09/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en juillet 2015 sous la dénomination OPDIVO;,BRISTOL MYERS SQUIBB
"OLAPARIB 50 mg, gélule",olaparib,,09/03/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en décembre 2014 sous la dénomination LINPARZA.,ASTRA ZENECA
"PALBOCICLIB 100 mg, gélule",palbociclib,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 000 368).,PFIZER
"PALBOCICLIB 125 mg, gélule",palbociclib,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 000 368).,PFIZER
"PALBOCICLIB 75 mg, gélule",palbociclib,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 000 368).,PFIZER
"PEMBROLIZUMAB 50 mg, poudre pour solution pour perfusion",pembrolizumab,,14/09/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en juillet 2015 sous la dénomination KEYTRUDA.,MERCK SHARP & DOHME - CHIBRET
"PN 401, granulés",uridine triacetate,, ,,,Ce médicament est aussi connu sous le nom de vistonuridine.,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"RAMUCIRUMAB 10 mg/ml, solution pour perfusion",ramucirumab,,18/03/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en décembre 2014 sous la dénomination CYRAMZA.,LILLY FRANCE SA
"SONIDEGIB 50 mg/ml, poudre et solvant pour suspension buvabie",sonidegib,, ,,, ,NOVARTIS PHARMA S.A.S.
"TAS-102 15 mg, comprimé",trifluridine/tipiracil,, ,,, ,SERVIER
"TAS-102 20 mg, comprimé",trifluridine/tipiracil,, ,,, ,SERVIER
"CAPOTEN 5 mg/ml, solution buvable",captopril,, ,,, ,ASPEN PHARMA
"CUSTODIOL, solution pour perfusion",.,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du  laboratoire EUSA Pharma (tel : 04 37 49 85 85).,LABORATOIRE KOHLER CHEMIE
"DEMSER 250 mg, gélule",métyrosine,, ,,, ,ATON PHARMA
"DOPS OD 100 mg, comprimé orodispersible",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"DOPS OD, comprimé orodispersible",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"LCZ696 100 mg, comprimé pelliculé",sacubitril/valsartan,,04/01/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2015 sous la dénomination ENTRESTO.,NOVARTIS PHARMA S.A.S.
"LCZ696 200 mg, comprimé pelliculé",sacubitril/valsartan,,04/01/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2015 sous la dénomination ENTRESTO.,NOVARTIS PHARMA S.A.S.
"LCZ696 50 mg, comprimé pelliculé",sacubitril/valsartan,,04/01/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2015 sous la dénomination ENTRESTO.,NOVARTIS PHARMA S.A.S.
"MARCOUMAR 3 mg, comprimé sécable",phenprocoumone,, ,,, ,HOFFMANN-LA-ROCHE SA
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NIFEDIPINE RATIOPHARM 20 mg/ml, solution buvable en gouttes",nifédipine,, ,,, ,RATIOPHARM GMHB
"PHENTOLAMINE MESYLATE 5 mg, poudre pour solution injectable",phentolamine,, ,,, ,BEDFORD LABORATORIES
"PICIBANIL 1KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,, ,CHUGAI PHARMA FRANCE
"REPATHA 140 mg, solution injectable en stylo prérempli",evolucumab,,22/10/2015,,, ,AMGEN EUROPE B.V.
"ROGITINE, ampoule, solution injectable",phentolamine mesylate,, ,,, ,LABORATOIRES PALADIN INC
"SIMDAX, solution pour perfusion",levosimendan,, ,,, ,ORION PHARMA LTD
"SYPROL 10 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"SYPROL 5 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"SYPROL 50 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"TENORMINE  5 mg/ml, solution buvable",atenolol,, ,,, ,ASTRAZENECA UK LIMITED
"WARFARIN SODIUM 1 mg/ml, suspension buvable",warfarine sodique,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ANTIVIPMYN TRI, solution injectable",Immunoglobulines équines,, ,,, ,INSTITUTO BIOCLON S.A. DE C.V.
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Pfizer (Tél : 01.58.07.30.00 ; email: Atu.Atgam@pfizer.com),PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,, ,AVENTIS PASTEUR S.A.
"BOTULISM ANTITOXIN BEHRING, solution pour perfusion","antitoxines botuliques de type A, B et E",, ,,, ,NOVARTIS VACCINES AND DIAGNOSTICS GMBH & CO. KG
"CYTOTECT CP BIOTEST 100 U/ml, solution pour perfusion",Immunoglobulines humaines anti-CMV,, ,,, ,BIOTEST PHARMA GMBH
"DIPHTERIA ANTITOXIN (EQUINE) 1000 IU/ml, solution injectable",immunoglobuline équine antidiphtérique,, ,,, ,INTERVAX
"FAV-AFRIQUE, solution injectable",Immunoglobulines d’origine équine,, ,,, ,SANOFI PASTEUR
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,, ,CSL BEHRING GMBH
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,, ,BAXTER SAS
"KEDRION HUMAN PLASMINOGEN 1 mg/ml, collyre en solution",plasminogène humain,, ,,, ,KEDRION S.P.A.
"OCTANATE 1000 UI/5 ml, poudre et solvant pour solution injectable",facteur VIII de coagulation humain,, ,,, ,OCTAPHARMA DESSAU
"SCORPIFAV 1 ml, solution pour perfusion",fragments F(ab’)2 immunoglobulines équines,, ,,, ,SANOFI PASTEUR
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,, ,BIOTEST PHARMA GMBH
"BIOBAG, sachet",larves de Lucilia sericata,, ,,, ,BIOMONDE GMBH
"BYL719 200 mg, comprimé pelliculé",BYL719,, ,,, ,NOVARTIS PHARMA S.A.S.
"BYL719 50 mg, comprimé pelliculé",BYL719,, ,,, ,NOVARTIS PHARMA S.A.S.
"DAPSONE 50 mg, comprimé",dapsone,, ,,,"Cette spécialité ne contient pas de fer contrairement à la spécialité disponible en France dans le cadre d'une AMM (DISULONE 50 mg, comprimé).",ACTAVIS LTD
"PERMETHRIN 5% w/w, crème",perméthrine,,06/07/2015,,, ,SANDOZ LTD
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,, ,MYLAN INSTITUTIONAL LLC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,, ,MYLAN INSTITUTIONAL LLC
"XEPIN 5%, crème",doxepin hydrochloride,, ,,, ,CAMBRIDGE HEALTHCARE SUPPLIES LTD
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,, ,CORNERSTONE THERAPEUTICS INC.
"ZYFLO CR 600 mg, comprimé à libération prolongée",zileuton,, ,,, ,CORNERSTONE THERAPEUTICS INC.
"GLIBENTEK 0.6 mg/ml, solution buvable",glibenclamide,, ,,, ,UNITHER DEVELOPPEMENT BORDEAUX
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,, ,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,, ,ALLIANCE PHARMACEUTICALS
"KETOCONAZOLE HRA PHARMA 200 mg, comprimé",kétoconazole,,06/03/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2014.,HRA PHARMA
"LODOSYN 25 mg, comprimé",carbidopa,, ,,, ,ATON PHARMA
"METRELEPTIN 5 mg/ml, poudre pour solution injectable",métréleptin,, ,,, ,"AEGERION PHARMACEUTICALS, INC."
"OXANDROLONE 2,5 mg, comprimé",oxandrolone,, ,,, ,AMERICAN HEALTH PACKAGING
"OXANDROLONE USP 2.5 mg, comprimé",oxandrolone,, ,,, ,PAR PHARM
"PASIREOTIDE LAR 40 mg, poudre et solvant pour solution injectable",pasireotide,,19/02/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2014.,NOVARTIS PHARMA S.A.S.
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,, ,TEVA GLOBAL
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,, ,UCYCLYD PHARMA INC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,, ,SERB
"NORMIX 200 mg, comprimé pelliculé",rifaximine,,,,, ,ALFA WASSERMANN
"NORMIX 2g/100 ml, granulés pour solution buvable",rifaximine,, ,,, ,ALFA WASSERMANN
"REFERO 550 mg, comprimé",rifaximine,,01/06/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en février 2015 sous la dénomination TIXTAR..,ALFA WASSERMANN
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,, ,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,, ,DR FALK PHARMA GMBH
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,, ,ALLIANCE PHARMACEUTICALS
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,, ,ORPHAN EUROPE
"BLINATUMOMAB 30.3 µg, poudre pour solution pour perfusion",blinatumomab,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire AMGEN (tél : 01 70 28 90 00).,AMGEN SA
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Genzyme (tel : 01 30 87 26 70).,GENZYME S.A.S
"CARFILZOMIB 60 mg, poudre pour solution injectable",carfilzomib,, ,,, ,AMGEN SA
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ERWINASE 10000 U, poudre pour solution injectable",crisantaspase,,15/07/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en mars 2015.,EUSA PHARMA
"INOTUZUMAB OZOGAMICINE 4mg, poudre et solvant pour solution pour perfusion",INOTUZUMAB OZOGAMICINE,, ,,, ,PFIZER
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,, ,CELGENE FRANCE
"LEUKOTAC 1 mg/ml, solution à diluer pour perfusion",inolimomab,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire EUSA Pharma (tel : 04 37 49 85 85).,EUSA PHARMA
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 87 39 42).,PFIZER
"NEODEX 40 mg, comprimé sécable",dexaméthasone,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire CTRS (tél : 01.41.22.09.70).,LABORATOIRES CTRS
"OMACETAXINE MEPESUCCINATE 3,5 mg, poudre pour solution injectable",omacétaxine mépésuccinate (homoharringtonine),, ,,, ,AMATSI
"ONCASPAR 750 UI/ml, solution injectable",Peg-L-Asparaginase,, ,,, ,SIGMA-TAU FRANCE
"PANOBINOSTAT 20 mg, gélule",LBH589B,, ,,,Cette spécialité est désormais disponible selon son AMM obtenue en août 2015 sous la dénomination FARYDAK.,NOVARTIS PHARMA S.A.S.
"PKC 412 25 mg, capsule molle",midostaurin,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire NOVARTIS PHARMA S.A.S. (Tel. : 01.55.47.68.15).,NOVARTIS PHARMA S.A.S.
"VALCHLOR, gel pour application cutanée",chlorméthine ou méchloréthamine,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Actelion (tel : 01 58 62 32 32).,ACTELION PHARMACEUTICALS FRANCE
"VORAXAZE 1000 UI, poudre pour solution pour perfusion",carboxypeptidase  G2,, ,,, ,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"ZOLINZA 100 mg, gélule",vorinostat,, ,,, ,MERCK SHARP & DOHME - CHIBRET
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"AMENAMEVIR 200 mg, comprimé",amenamevir,, ,,, ,MARUHO CO.LTD
"ARIKACE 70 mg/ml, suspension pour inhalation par nébuliseur",amikacine liposomale,, ,,, ,INSMED INCORPORATED
"CAPASTAT 1 g, poudre pour solution injectable",capréomycine (sulfate),, ,,, ,VIANEX SA
"CEFTAZIDIME AVIBACTAM 2g/0,5g, poudre pour solution pour perfusion",ceftazidime avibactam,, ,,, ,ASTRA ZENECA
"CIDOFOVIR 75 mg/ml, solution injectable",cidofovir,, ,,, ,NEXCAPE PHARMACEUTICALS LTD
"CMX 001 10 mg/ml, suspension buvable",brincidofovir,, ,,, ,CHIMERIX
"CMX 001 100 mg, comprimé",brincidofovir,, ,,, ,CHIMERIX
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,, ,KING PHARMACEUTICALS LTD
"CYT 107 4 mg/ml, solution injectable",interleukine 7,, ,,,,REVIMMUNE SAS
"DORIBAX 500 mg, poudre pour solution pour perfusion",doripénème,, ,,, ,DURBIN PLC
"ELVITEGRAVIR/ COBICISTAT/ EMTRICITABINE/ TENOFOVIR ALAFENAMIDE 150mg /150mg/ 200mg/, comprimé pelliculé",Elvitegravir/ Cobicistat/ Emtricitabine/ Tenofovir Alafenamide,,11/01/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2015 sous la dénomination GENVOYA.,GILEAD SCIENCES
"EMTRICITABINE/TENOFOVIR ALAFENAMIDE 200 mg/10 mg, comprimé pelliculé",emtricitabine/ténofovir alafénamide,, ,,, ,GILEAD SCIENCES
"EMTRICITABINE/TENOFOVIR ALAFENAMIDE 200 mg/25 mg, comprimé pelliculé",emtricitabine/ténofovir alafénamide,, ,,, ,GILEAD SCIENCES
"FURADANTIN OU NITROFURANTOINE 5 mg/ml, solution buvable",nitrofurantoïne,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"GRAZOPREVIR/ELBASVIR 100 mg/50 mg, comprimé pelliculé",grazoprévir/elbasvir,, ,,, ,MERCK SHARP & DOHME - CHIBRET
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,, ,PFIZER PHARMA GMBH
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,, ,PAESEL & LOREI GMBH & CO
"ISAVUCONAZOLE 100 mg, gélule",isavuconazole,, ,,, ,BASILEA PHARMACEUTICA INTERNATIONAL LTD
"ISAVUCONAZOLE 200 mg, poudre pour solution injectable",isavuconazole,, ,,, ,BASILEA PHARMACEUTICA INTERNATIONAL LTD
"IVOMEC PORCIN 10 mg/ml, solution injectable",ivermectine,, ,,, ,MERIAL
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,, ,LABORATOIRE LAFEPE
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du CNR Paludisme de l'Hôpital de La Pitié Salpêtrière (tel : 01 42 16 01 12 ou 13).,ACE PHARMACEUTICALS
"MARIBAVIR 100 mg, comprimé",maribavir,, ,,, ,VIROPHARMA LIMITED
"NEGABAN 1 g, poudre pour solution injectable",témocilline,,15/06/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en décembre 2014.,EUMEDICA S.A.
"NEGABAN 2 g, poudre pour solution injectable",témocilline,,15/06/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en décembre 2014.,EUMEDICA S.A.
"P. AERUGINOSA, PHAGE COCKTAIL PP1131, solution pour application cutanée","P. aeruginosa, phage cocktail PP1131",, ,,, ,PHERECYDES PHARMA
"PAS-FATOL 11,82 g, poudre pour solution pour perfusion",acide aminosalicylique,, ,,, ,RIEMSER PHARMA GMBH
"PDP-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,, ,PENDOPHARM
"PMS-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,,Cette spécialité n'est plus mise à disposition par le laboratoire.,PHARMASCIENCE INC.
"PRIMAQUINE 15 mg (base), comprimé",primaquine (diphosphate),, ,,, ,SANOFI-AVENTIS
"PRIMAQUINE 7,5 mg (base), comprimé",primaquine (diphosphate),, ,,, ,DURBIN PLC
"TMC 207 100 mg, comprimé", bedaquiline,,18/02/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mars 2014 sous la dénomination SIRTURO.,JANSSEN RESEARCH AND DEVELOPMENT
"TMC278 300 mg/ml, suspension injectable",rilpivirine,, ,,, ,JANSSEN RESEARCH AND DEVELOPMENT
"TRECATOR 250 mg, comprimé",ethionamide,, ,,, ,WYETH PHARMACEUTICALS INC
"VERMOX 100 mg, comprimé",mébendazole,, ,,, ,JANSSEN RESEARCH AND DEVELOPMENT
"VERMOX 500 mg, comprimé",mébendazole,, ,,, ,JANSSEN RESEARCH AND DEVELOPMENT
"VIRAZOLE 100 mg/ml, solution à diluer pour perfusion",ribavirine,, ,,, ,MEDA PHARMA GMBH
"ZANAMIVIR 10 mg/ml, solution à diluer pour perfusion",zanamivir,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire GSK (contact laboratoire 24h/24 : 01 39 17 84 44).,GLAXOSMITHKLINE
"ZITHROMAX 500 mg, poudre pour solution pour perfusion",azithromycine dihydraté,, ,,, ,PFIZER INC
"CERDELGA 84 mg, gélule",eliglustat,,20/05/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en janvier 2015.,GENZYME S.A.S
"CHOLBAM 250 mg, gélule",cholique (acide),, ,,, ,LUCANE PHARMA
"ELELYSO 200 U, poudre pour solution pour perfusion",taliglucérase alfa,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site internet de l'ANSM et auprès du laboratoire Pfizer (tel : 01 58 07 30 00).,PFIZER
"KANUMA 2 mg/ml, solution injectable",sebelipase alfa,,27/11/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en août 2015.,SYNAGEVA BIOPHARMA SAS
"L-ARGININ-HYDROCHLORID B BRAUN  21%, solution à diluer pour perfusion",arginine (chlorhydrate),, ,,, ,B BRAUN
"PREFOLIC 15 mg, comprimé gastro-résistant",5 méthyl-tétrahydrofolate,, ,,, ,ZAMBON ITALIA SRL
"SUCRAID 8500 UI/ml, solution buvable",sacrosidase,, ,,, ,QOL MEDICAL
"TRIENTINE DICHLORHYDRATE 300 mg, gélule",trientine (dichlorhydrate),, ,,, ,UNIVAR LTD
"UX003  2 mg/ml, solution pour perfusion",rh-BETA GLUCURONIDASE,, ,,, ,ULTRAGENYX PHARMACEUTICAL INC
"UX007, solution buvable",triheptanoin,, ,,, ,ULTRAGENYX PHARMACEUTICAL INC
"VITARUBINE SUPERCONC. 1000 µg, solution injectable",cyanocobalamine,, ,,, ,G. STREULI AND CIE. SA
"XENBILOX 250 mg, gélule",chénodésoxycholique (acide),, ,,, ,SIGMA-TAU FRANCE
"ELMISOL 10 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 25 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 5 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 50 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"INDOCIN 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,IROKO
"INDO-PAED 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,1 A PHARMA
"UROCIT-K 10 meq (1080 mg), comprimé",potassium (citrate),, ,,, ,MISSION PHARMACAL
"UROCIT-K 5 meq (540 mg), comprimé",potassium (citrate de),, ,,, ,MISSION PHARMACAL
"AGOMELATINE 5 mg, comprimé",agomélatine,, ,,, ,LABORATOIRE SERVIER INDUSTRIE
"BELLAFIT 0,5 mg/ml, solution buvable en gouttes",atropine (sulfate),, ,,, ,G. STREULI AND CIE. SA
"BREVIMYTAL HIKMA 500 mg, poudre pour solution injectable",méthohexital sodique,, ,,, ,HIKMA PHARMA GMBH
"CERENDAY 100 mg, gélule",biotine,, ,,, ,BLUE-REG PHARMA CONSULT
"DEXAMFETAMINE SULPHATE 5 mg, comprimé",dexamfetamine sulphate,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,AUDEN MCKENZIE (PHARMA DIVISION) LTD
"DIAZEPAM DESITIN 10 mg, gel rectal",diazepam,, ,,, ,DESITIN
"DIBRO-BE MONO 850 mg, comprimé sécable",potassium (bromure),, ,,, ,DIBROPHARM ARZNEIMITTEL
"DIMINEX 2 mg, comprimé sécable",mazindol,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire H.A.C. Pharma (tel. : 02 31 47 92 46).,H.A.C. PHARMA
"EDROPHONIUM INJECTION BP 10mg/1ml, solution injectable",édrophonium (chlorure),, ,,, ,CAMBRIDGE LABORATORIES LIMITED
"ENLON, solution injectable",édrophonium (chlorure),, ,,, ,MYLAN INSTITUTIONAL LLC
"EPANUTIN 30 mg/5 ml, suspension buvable",phénytoïne,, ,,, ,PFIZER PGM
"EPHEDRINE HYDROCHLORIDE  15 mg, comprimé",éphédrine (chlorhydrate),, ,,, ,WOCKHARDT UK LTD
"LABURIDE 200 mg, comprimé sécable",phénéturide,, ,,, ,KELA PHARMA NV
"LIKOZAM 1 mg/ml, suspension buvable",clobazam,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire ADVICENNE (tel : 04 26 78 39 30).,ADVICENNE
"LIORESAL 5mg/5ml, solution buvable",baclofène,, ,,, ,NOVARTIS PHARMACEUTICALS UK LTD
"LORAZEPAM 4 mg/ml, solution injectable",lorazepam,, ,,,Ce médicament est soumis à la réglementation des psychotropes.,WEST-WARD PHARMACEUTICALS
"MESTINON  60 mg/5 ml, sirop",pyridostigmine (bromure),, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"MESTINON RETARD 180 mg, comprimé à libération prolongée",pyridostigmine (bromure),,07/12/2015,,,Cette spécialité est désormais disponible selon son AMM obtenue en juin 2015.,MEDA PHARMA GMBH
"MNESIS 45 mg, comprimé",idébénone,, ,,, ,TAKEDA ITALIA FARMACEUTICAL
"NEOSTIGMINE BROMIDE 15 mg, comprimé",néostigmine (bromure),, ,,, ,ALLIANCE PHARMACEUTICALS
"NEOTON 1 g, poudre et solvant pour solution injectable",créatine phosphate,, ,,, ,SEARLE FARMACEUTICI
"OSPOLOT 200 mg, comprimé sécable",sultiame,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire INRESA (Tél : 03 89 70 76 60).,LABORATOIRES INRESA
"OSPOLOT 50 mg, comprimé",sultiame,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire INRESA (Tél : 03 89 70 76 60).,LABORATOIRES INRESA
"PETINIMID 250 mg, gélule",éthosuximide,, ,,, ,ORION PHARMA AG
"PRIDOPIDINE 45 mg, comprimé",pridopidine,, ,,,,NEUROSEARCH
"PROSTIGMIN 15 mg, comprimé",neostigmine bromide,, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"SALBUMOL 2 mg, comprimé",salbutamol,, ,,, ,GLAXOSMITHKLINE FRANCE
"SIRDALUD 4 mg, comprimé sécable",tizanidine,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire NOVARTIS PHARMA (Tél : 0 800 877 910).,NOVARTIS PHARMA SA
"STRATTERA 10 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 18 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 25 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 40 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 60 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"SYMMETREL 50 mg/5 ml, sirop",amantadine hydrochloride,, ,,, ,ALLIANCE PHARMACEUTICALS
"TRAZOLAN 100 mg, comprimé pelliculé",trazodone (chlorhydrate),, ,,, ,CONTINENTAL PHARMA INC.
"TRITTICO RETARD 150 mg, comprimé",trazodone (chlorhydrate),, ,,, ,CSC PHARMACEUTICALS HANDELS GMBH
"UBICOR 50 mg/10 ml, poudre et solvant pour suspension buvabie",ubidécarénone,, ,,, ,MAGIS FARMACEUTICI SPA
"UBITEN 10 mg, comprimé",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg, gélule",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg/10 ml, solution buvable",ubidécarénone,, ,,, ,ITALFARMACO SPA
